id,Position,Track Name,Artist,Popularity
1,1,Heat Waves,Glass Animals,96
2,2,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,95
3,3,STAY (with Justin Bieber),The Kid LAROI,94
4,4,Super Gremlin,Kodak Black,78
5,5,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,91
6,6,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,89
7,7,Soy El Unico,Yahritza Y Su Esencia,74
8,8,good 4 u,Olivia Rodrigo,95
9,9,Woman,Doja Cat,97
10,10,Knife Talk (with 21 Savage ft. Project Pat),Drake,90
11,11,I Love You So,The Walters,95
12,12,Need to Know,Doja Cat,93
13,13,Ghost,Justin Bieber,94
14,14,Cold Heart - PNAU Remix,Elton John,79
15,15,Something In The Way - Remastered,Nirvana,61
16,16,THATS WHAT I WANT,Lil Nas X,96
17,17,pushin P (feat. Young Thug),Gunna,93
18,18,Boyfriend,Dove Cameron,96
19,19,abcdefu,GAYLE,100
20,20,No Role Modelz,J. Cole,90
21,21,505,Arctic Monkeys,86
22,22,Dark Red,Steve Lacy,91
23,23,Sweater Weather,The Neighbourhood,94
24,24,maybe (feat. Bring Me The Horizon),Machine Gun Kelly,72
25,25,"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,74
26,26,Monëy so big,Yeat,89
27,27,MAMIII,Becky G,98
28,28,Kiss Me More (feat. SZA),Doja Cat,89
29,29,Tom's Diner,AnnenMayKantereit,86
30,30,Shivers,Ed Sheeran,96
31,31,Lost,Frank Ocean,91
32,32,traitor,Olivia Rodrigo,94
33,33,Nail Tech,Jack Harlow,90
34,34,Just A Cloud Away,Pharrell Williams,52
35,35,MIDDLE OF THE NIGHT,Elley Duhé,96
36,36,family ties (with Kendrick Lamar),Baby Keem,83
37,37,Nobody Like U,4*TOWN (From Disney and Pixar’s Turning Red),81
38,38,Easy On Me,Adele,91
39,39,Bam Bam (feat. Ed Sheeran),Camila Cabello,94
40,40,Broadway Girls (feat. Morgan Wallen),Lil Durk,74
41,41,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,90
42,42,One Right Now (with The Weeknd),Post Malone,92
43,43,See You Again (feat. Kali Uchis),"Tyler, The Creator",88
44,44,Numb Little Bug,Em Beihold,91
45,45,chaotic,Tate McRae,77
46,46,Wait a Minute!,WILLOW,87
47,47,Notion,The Rare Occasions,92
48,48,Wasted On You,Morgan Wallen,83
